7.105521253980722918e+01 1.654345437478864644e+00 -7.103571525848536794e+00 4.610000000000000320e+00 1.432187899273543175e-02
2.728959754026184115e+01 9.992730610927226254e-01 1.519347950404742065e+01 2.060000000000000053e+00 1.499684835502373137e-01
7.116461775936324230e+00 2.851527673265307206e-01 1.192375336288135657e+01 2.270000000000000018e+00 1.235947433444510440e-01
-6.333655002320586647e+01 -3.365515847838281616e+00 2.053288042823839632e+01 5.250000000000000000e+00 7.943282347242813790e-03
-4.817411262863062689e+02 -2.785434857275615173e+01 -1.309565672655955382e+02 2.830000000000000071e+00 7.379042301291006967e-02
6.243655790595227728e+01 3.983791927222256835e+00 2.302715968550425174e+01 4.799999999999999822e+00 1.202264434617413176e-02
3.296074715876507639e+02 2.082377842440824267e+01 -4.512644498338267596e+01 5.120000000000000107e+00 8.953647655495937385e-03
3.255071260459949656e+01 2.082141471413843092e+00 -1.118822764867308628e+01 4.440000000000000391e+00 1.674942876026436558e-02
7.573969292943428400e+01 6.436037042626591820e+00 -1.179983497573366868e+01 3.560000000000000053e+00 3.767037989839089329e-02
3.156504335705140551e+00 2.771529822973272661e-01 -6.756578823843543802e+00 4.230000000000000426e+00 2.032357010936220940e-02
1.984737942868010308e+01 1.986571326730773190e+00 -4.316038929528686729e+00 6.389999999999999680e+00 2.779713267759288328e-03
1.432909937188163063e+00 1.616868616686957805e-01 -6.374891290848585967e+00 2.799999999999999822e+00 7.585775750291839925e-02
2.099146431181896943e+01 2.417967073590755245e+00 -1.923118280004914737e+01 2.390000000000000124e+00 1.106623783977666170e-01
5.903211576134241767e+01 7.260869946009489873e+00 1.920257994037791960e+01 5.059999999999999609e+00 9.462371613657928962e-03
5.073995030782592153e+01 6.328988280596113292e+00 -4.277669686345449662e+01 5.429999999999999716e+00 6.729766562843181657e-03
7.478580114849613381e+01 1.040621411590224987e+01 9.961824458577650887e+01 5.599999999999999645e+00 5.754399373371572694e-03
1.006035013204615609e+02 1.628370065248531517e+01 1.001096392982726968e+02 5.129999999999999893e+00 8.871560120379607881e-03
2.773096873855769573e+01 4.709635892492748610e+00 1.579225851194257935e+01 4.370000000000000107e+00 1.786487574852050828e-02
3.020741846467780434e+01 5.235148467690485141e+00 1.831980606618730434e+01 3.270000000000000018e+00 4.920395356814508819e-02
1.018580048213921998e+02 1.792671079269727841e+01 4.061106876586620729e+01 5.360000000000000320e+00 7.177942912713615280e-03
3.392528094636079317e+01 6.059559402665084527e+00 5.214026325744877255e+01 2.229999999999999982e+00 1.282330582656021345e-01
1.531109291840253839e+01 2.947758922614639676e+00 -5.062224018173241191e+00 2.040000000000000036e+00 1.527566058238072344e-01
4.384956665299052503e+01 8.561224616513023022e+00 -8.368789631117039107e+00 4.759999999999999787e+00 1.247383514242943192e-02
6.292887364528655780e+01 1.296037070786118583e+01 1.778848215264072508e+01 5.379999999999999893e+00 7.046930689671467365e-03
2.411515014601827644e+01 5.053110264382315364e+00 1.110791609666899760e+01 4.059999999999999609e+00 2.376840286624877160e-02
2.957189633366690273e+00 6.434200820733465553e-01 4.808752220850330161e+00 3.439999999999999947e+00 4.207266283844442178e-02
5.099842853559774625e+01 1.099907898801262007e+01 6.947204531900888824e+00 4.429999999999999716e+00 1.690440931643264963e-02
